Double exponential fitting
Ch/ROI,Pop1,Tau1,Pop2,Tau2,TauG,Tau0,Meantau,Frac1,Frac2,xi_square
ch1,45358.4194561739,2.6,35516.9845693485,0.655010279892036,0.133352693070738,1.5089671984042,2.27953582486344,0.560843188392108,0.439156811607892,8.5691102872334
ch2,0,3.55,0,NaN,0.1,0.7,NaN,NaN,NaN,NaN
Fitting Multi ROIs
ROI2-ch1,9488.65000980701,2.6,8044.04752583013,0.655010279892036,0.133352693070738,1.5089671984042,2.25770810517625,0.541197382235123,0.458802617764877,3.81872030145911
ROI3-ch1,4530.01332241281,2.6,2729.57252637496,0.655010279892036,0.133352693070738,1.5089671984042,2.34366352596459,0.624004373909187,0.375995626090813,2.12365630506282
ROI4-ch1,903.346542604731,2.6,524.614797336819,0.655010279892036,0.133352693070738,1.5089671984042,2.3517565388568,0.632612744713178,0.367387255286822,1.76795988712512
ROI6-ch1,6434.54723499359,2.6,5263.87157677758,0.655010279892036,0.133352693070738,1.5089671984042,2.26764763377638,0.550035636313433,0.449964363686567,1.8151186064317
ROI7-ch1,4129.54406228173,2.6,3768.33429063034,0.655010279892036,0.133352693070738,1.5089671984042,2.23644279920081,0.522867519320439,0.477132480679561,2.1994461428129
ROI8-ch1,8666.00174980067,2.6,7478.35187432093,0.655010279892036,0.133352693070738,1.5089671984042,2.25266745031279,0.536782205814213,0.463217794185788,3.73908777286713
ROI9-ch1,2952.09772945739,2.6,2299.76986589188,0.655010279892036,0.133352693070738,1.5089671984042,2.28090448534899,0.562104370656942,0.437895629343058,1.8279998473819
ROI10-ch1,1127.39032583137,2.6,697.532135639312,0.655010279892036,0.133352693070738,1.5089671984042,2.33771544747186,0.617774371039755,0.382225628960245,2.32383056444299
ROI11-ch1,1283.49242215335,2.6,720.196766742822,0.655010279892036,0.133352693070738,1.5089671984042,2.35910569429451,0.640564629118163,0.359435370881837,2.9753161152645
ROI12-ch1,3569.71324242645,2.6,2460.64310291541,0.655010279892036,0.133352693070738,1.5089671984042,2.31221608814317,0.591957263882734,0.408042736117266,2.53096748879643
ROI13-ch1,2188.53618422804,2.6,1645.09307371622,0.655010279892036,0.133352693070738,1.5089671984042,2.29032097706303,0.570878412327649,0.429121587672351,1.76130640664488
ROI2-ch2,24.5,3.55,24.5,NaN,0.1,0.7,NaN,0.5,0.5,NaN
ROI3-ch2,24.5,3.55,24.5,NaN,0.1,0.7,NaN,0.5,0.5,NaN
ROI4-ch2,24.5,3.55,24.5,NaN,0.1,0.7,NaN,0.5,0.5,NaN
ROI6-ch2,24.5,3.55,24.5,NaN,0.1,0.7,NaN,0.5,0.5,NaN
ROI7-ch2,24.5,3.55,24.5,NaN,0.1,0.7,NaN,0.5,0.5,NaN
ROI8-ch2,24.5,3.55,24.5,NaN,0.1,0.7,NaN,0.5,0.5,NaN
ROI9-ch2,24.5,3.55,24.5,NaN,0.1,0.7,NaN,0.5,0.5,NaN
ROI10-ch2,24.5,3.55,24.5,NaN,0.1,0.7,NaN,0.5,0.5,NaN
ROI11-ch2,24.5,3.55,24.5,NaN,0.1,0.7,NaN,0.5,0.5,NaN
ROI12-ch2,24.5,3.55,24.5,NaN,0.1,0.7,NaN,0.5,0.5,NaN
ROI13-ch2,24.5,3.55,24.5,NaN,0.1,0.7,NaN,0.5,0.5,NaN

Time-1,1.2,1.4,1.6,1.8,2,2.2,2.4,2.6,2.8,3,3.2,3.4,3.6,3.8,4,4.2,4.4,4.6,4.8,5,5.2,5.4,5.6,5.8,6,6.2,6.4,6.6,6.8,7,7.2,7.4,7.6,7.8,8,8.2,8.4,8.6,8.8,9,9.2,9.4,9.6,9.8,
Lifetime-1,1023,16694,53552,61792,55686,49175,42391,37453,32803,29115,26187,23422,21452,19654,18079,16609,15688,14409,13286,12498,11595,10631,9623,9066,8492,7414,6838,6445,5975,5617,5101,4739,4513,4172,3849,3378,3209,2885,2755,2527,2312,2197,2094,2093,
Residuals-1,-6.37387804537568,4.59601391023757,-2.95402027827281,-4.75518150269444,2.72923620562523,6.49029259447816,2.80206239810034,2.55250525718919,-0.680838180258829,-2.45131462854395,-2.81657256341114,-4.76679511553249,-3.61301293769961,-2.98226405948947,-2.22711146925171,-1.98496906903825,1.47318578697345,1.13641024469141,1.13931271829976,3.24135675220281,3.63202546864565,2.7263202169074,0.585504342080725,2.33105383202325,3.39168908918191,-1.77265579586025,-1.97225349379668,-0.421244574502942,-0.274849404317628,0.891809634166277,-0.513373999972283,-0.248737022381073,1.63543229347078,1.47848918929872,1.20533416771935,-2.00343559138869,-0.467185773552616,-2.06153988568071,-0.358041728700159,-0.822049948461396,-1.3745722799373,-0.105987717641083,1.2041814516631,4.48292894545294,

Time-2,0.8,1,1.2,1.4,1.6,1.8,2,2.2,2.4,2.6,2.8,3,3.2,3.4,3.6,3.8,4,4.2,4.4,4.6,4.8,5,5.2,5.4,5.6,5.8,6,6.2,6.4,6.6,6.8,7,7.2,7.4,7.6,7.8,8,8.2,8.4,8.6,8.8,9,9.2,9.4,9.6,9.8,
Lifetime-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Residuals-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,

