Double exponential fitting
Ch/ROI,Pop1,Tau1,Pop2,Tau2,TauG,Tau0,Meantau,Frac1,Frac2,xi_square
ch1,48702.9489105139,2.6,43129.374998071,0.693914540409521,0.128618048409139,1.50782882109191,2.23562174720122,0.53034647102033,0.46965352897967,9.01021273960914
ch2,0,3.55,0,NaN,0.1,0.7,NaN,NaN,NaN,NaN
Fitting Multi ROIs
ROI2-ch1,10451.5076664966,2.6,9371.4994661763,0.693914540409521,0.128618048409139,1.50782882109191,2.23193474531944,0.527241280626394,0.472758719373606,4.39527544800182
ROI3-ch1,4487.84398852441,2.6,2880.0402707637,0.693914540409521,0.128618048409139,1.50782882109191,2.32127429604765,0.609108915204109,0.390891084795891,3.60969550616446
ROI4-ch1,700.20120725898,2.6,555.019351553741,0.693914540409521,0.128618048409139,1.50782882109191,2.26717335699048,0.557831213281976,0.442168786718024,0.935896476126791
ROI6-ch1,8356.46740606515,2.6,7921.82746036945,0.693914540409521,0.128618048409139,1.50782882109191,2.21512153692578,0.513350290962966,0.486649709037034,2.60261091157079
ROI7-ch1,5246.91311397958,2.6,5488.17044793206,0.693914540409521,0.128618048409139,1.50782882109191,2.18401931589916,0.48876313665557,0.51123686334443,2.58472179268949
ROI8-ch1,8771.79156400613,2.6,8247.53446889426,0.693914540409521,0.128618048409139,1.50782882109191,2.2176380666566,0.515401817148882,0.484598182851118,4.59615377028361
ROI9-ch1,2501.2147681725,2.6,2201.73015285179,0.693914540409521,0.128618048409139,1.50782882109191,2.23738614769117,0.53184011511403,0.46815988488597,1.68396130874979
ROI10-ch1,823.527618836843,2.6,667.4177425837,0.693914540409521,0.128618048409139,1.50782882109191,2.26103516542451,0.552352648290345,0.447647351709655,2.25678778444875
ROI11-ch1,1679.5368357619,2.6,1307.85101162421,0.693914540409521,0.128618048409139,1.50782882109191,2.27202622745166,0.562209167862637,0.437790832137363,1.91126499446507
ROI12-ch1,3565.70763741065,2.6,3043.76919690393,0.693914540409521,0.128618048409139,1.50782882109191,2.24632445328112,0.539484096365764,0.460515903634236,1.84020305503283
ROI13-ch1,2030.78028290056,2.6,1559.20083393921,0.693914540409521,0.128618048409139,1.50782882109191,2.27584102079324,0.565679934463901,0.4343200655361,1.13853179838774
ROI2-ch2,24.5,3.55,24.5,NaN,0.1,0.7,NaN,0.5,0.5,NaN
ROI3-ch2,24.5,3.55,24.5,NaN,0.1,0.7,NaN,0.5,0.5,NaN
ROI4-ch2,24.5,3.55,24.5,NaN,0.1,0.7,NaN,0.5,0.5,NaN
ROI6-ch2,24.5,3.55,24.5,NaN,0.1,0.7,NaN,0.5,0.5,NaN
ROI7-ch2,24.5,3.55,24.5,NaN,0.1,0.7,NaN,0.5,0.5,NaN
ROI8-ch2,24.5,3.55,24.5,NaN,0.1,0.7,NaN,0.5,0.5,NaN
ROI9-ch2,24.5,3.55,24.5,NaN,0.1,0.7,NaN,0.5,0.5,NaN
ROI10-ch2,24.5,3.55,24.5,NaN,0.1,0.7,NaN,0.5,0.5,NaN
ROI11-ch2,24.5,3.55,24.5,NaN,0.1,0.7,NaN,0.5,0.5,NaN
ROI12-ch2,24.5,3.55,24.5,NaN,0.1,0.7,NaN,0.5,0.5,NaN
ROI13-ch2,24.5,3.55,24.5,NaN,0.1,0.7,NaN,0.5,0.5,NaN

Time-1,1.2,1.4,1.6,1.8,2,2.2,2.4,2.6,2.8,3,3.2,3.4,3.6,3.8,4,4.2,4.4,4.6,4.8,5,5.2,5.4,5.6,5.8,6,6.2,6.4,6.6,6.8,7,7.2,7.4,7.6,7.8,8,8.2,8.4,8.6,8.8,9,9.2,9.4,9.6,9.8,
Lifetime-1,992,18388,61763,70758,63398,54733,47297,41539,36671,32412,29048,25932,23563,22011,19820,18398,16840,15856,14358,13521,12837,11546,10595,9885,8925,8084,7504,6795,6345,5988,5471,4899,4771,4411,4096,3676,3443,3174,2740,2482,2476,2314,2158,2090,
Residuals-1,-6.59183789526542,4.42330444332007,-3.23995521239475,-3.31393514832973,4.467946394389,3.7281432486098,1.27786103178775,0.689041728395831,-0.30736941220622,-2.20163431554888,-2.52422775072014,-4.27395452039294,-3.77856646654448,0.236071063774916,-1.73608280222343,0.238765348138965,-0.0461744107624845,2.99467613851971,0.959342547553761,3.43844377167065,6.51161350755876,3.54031169845669,2.76358231460903,3.6118253689527,1.27361918759848,-0.632236064401731,-0.290354084928352,-2.06219310800339,-1.24635394508291,0.31815709651091,-0.649366847197632,-2.99014910715066,0.615463207180259,0.508833843804867,0.683913757441722,-1.24588089133507,-0.515984734546141,-0.740933583822223,-4.53473956664056,-5.51425556990507,-1.53650550064713,-1.02602318268018,-0.65196548066356,1.39552367639073,

Time-2,0.8,1,1.2,1.4,1.6,1.8,2,2.2,2.4,2.6,2.8,3,3.2,3.4,3.6,3.8,4,4.2,4.4,4.6,4.8,5,5.2,5.4,5.6,5.8,6,6.2,6.4,6.6,6.8,7,7.2,7.4,7.6,7.8,8,8.2,8.4,8.6,8.8,9,9.2,9.4,9.6,9.8,
Lifetime-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Residuals-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,

