Double exponential fitting
Ch/ROI,Pop1,Tau1,Pop2,Tau2,TauG,Tau0,Meantau,Frac1,Frac2,xi_square
ch1,48345.0776400554,2.6,38484.0969573356,0.68405308745268,0.1284563698802,1.50656685336823,2.26822237947323,0.556783798351436,0.443216201648564,9.20307725955641
ch2,0,3.55,0,NaN,0.1,0.7,NaN,NaN,NaN,NaN
Fitting Multi ROIs
ROI2-ch1,9285.57775618491,2.6,7954.87546006369,0.68405308745268,0.1284563698802,1.50656685336823,2.24758945144227,0.538592439520878,0.461407560479122,3.31557906256825
ROI3-ch1,4998.13284092098,2.6,3016.12249246896,0.68405308745268,0.1284563698802,1.50656685336823,2.3374903040749,0.623655303331448,0.376344696668552,3.32499662470526
ROI4-ch1,911.680385527913,2.6,546.666637697858,0.68405308745268,0.1284563698802,1.50656685336823,2.3389273278196,0.625146395890968,0.374853604109032,1.00282732284595
ROI6-ch1,7341.82376752499,2.6,6513.90843398669,0.68405308745268,0.1284563698802,1.50656685336823,2.23740351171066,0.529876275085916,0.470123724914084,2.67477358685025
ROI7-ch1,4460.93149574804,2.6,4091.8460773261,0.68405308745268,0.1284563698802,1.50656685336823,2.22751684992599,0.521576933064639,0.478423066935361,1.97348154768674
ROI8-ch1,9535.99736091818,2.6,8169.55903797291,0.68405308745268,0.1284563698802,1.50656685336823,2.24758412756079,0.538587839098659,0.461412160901341,3.06623465590288
ROI9-ch1,2830.81108719158,2.6,2013.85810175981,0.68405308745268,0.1284563698802,1.50656685336823,2.2979316104205,0.584314630531934,0.415685369468066,1.47912974592088
ROI10-ch1,1096.87278218934,2.6,772.274944548644,0.68405308745268,0.1284563698802,1.50656685336823,2.30056006029748,0.586830439616237,0.413169560383763,2.41133519071806
ROI11-ch1,1287.49103663001,2.6,709.821263747283,0.68405308745268,0.1284563698802,1.50656685336823,2.35729438429597,0.644611779733595,0.355388220266405,3.05219808367135
ROI12-ch1,3747.35360211876,2.6,2878.50940000886,0.68405308745268,0.1284563698802,1.50656685336823,2.27789054971998,0.565564606590184,0.434435393409816,1.77460543648221
ROI13-ch1,2773.67560997166,2.6,1908.36293600495,0.68405308745268,0.1284563698802,1.50656685336823,2.30633734618875,0.592407683690505,0.407592316309495,1.66762295379689
ROI2-ch2,24.5,3.55,24.5,NaN,0.1,0.7,NaN,0.5,0.5,NaN
ROI3-ch2,24.5,3.55,24.5,NaN,0.1,0.7,NaN,0.5,0.5,NaN
ROI4-ch2,24.5,3.55,24.5,NaN,0.1,0.7,NaN,0.5,0.5,NaN
ROI6-ch2,24.5,3.55,24.5,NaN,0.1,0.7,NaN,0.5,0.5,NaN
ROI7-ch2,24.5,3.55,24.5,NaN,0.1,0.7,NaN,0.5,0.5,NaN
ROI8-ch2,24.5,3.55,24.5,NaN,0.1,0.7,NaN,0.5,0.5,NaN
ROI9-ch2,24.5,3.55,24.5,NaN,0.1,0.7,NaN,0.5,0.5,NaN
ROI10-ch2,24.5,3.55,24.5,NaN,0.1,0.7,NaN,0.5,0.5,NaN
ROI11-ch2,24.5,3.55,24.5,NaN,0.1,0.7,NaN,0.5,0.5,NaN
ROI12-ch2,24.5,3.55,24.5,NaN,0.1,0.7,NaN,0.5,0.5,NaN
ROI13-ch2,24.5,3.55,24.5,NaN,0.1,0.7,NaN,0.5,0.5,NaN

Time-1,1.2,1.4,1.6,1.8,2,2.2,2.4,2.6,2.8,3,3.2,3.4,3.6,3.8,4,4.2,4.4,4.6,4.8,5,5.2,5.4,5.6,5.8,6,6.2,6.4,6.6,6.8,7,7.2,7.4,7.6,7.8,8,8.2,8.4,8.6,8.8,9,9.2,9.4,9.6,9.8,
Lifetime-1,964,17643,58816,66897,60221,52885,45797,40355,35740,31741,28095,25169,23043,21291,19354,17822,16607,15565,14475,13183,12235,11213,10469,9784,8996,8002,7232,6819,6396,5876,5309,5267,4757,4321,4095,3836,3459,3065,2757,2670,2492,2297,2347,2136,
Residuals-1,-6.61452149143785,4.38408850818206,-3.07518678582211,-4.64304560969571,3.31533025213488,5.60140674509773,2.66901762237755,1.90076715242495,0.782131514359738,-0.869072294234568,-3.86122399594461,-5.38216682958839,-4.03011514398265,-1.93880532129973,-2.70723478239877,-1.978911991362,-0.0235817198900174,2.30095021678291,3.36296353133057,1.84098569357388,2.40790325355759,1.53232916841703,2.54268008125161,3.52546275527472,2.87316948521501,-0.734953769070402,-2.71695193883778,-1.04143448595049,0.0793220200158162,-0.489327753982689,-2.25619278085866,2.76349972872509,0.97065016590992,-0.317269676772917,1.17703306541027,1.84811322099906,0.227805255280091,-2.261424362329,-3.74765488158368,-1.25637485491623,-0.807414710753075,-0.995787849113094,3.63177148737422,2.72060734713519,

Time-2,0.8,1,1.2,1.4,1.6,1.8,2,2.2,2.4,2.6,2.8,3,3.2,3.4,3.6,3.8,4,4.2,4.4,4.6,4.8,5,5.2,5.4,5.6,5.8,6,6.2,6.4,6.6,6.8,7,7.2,7.4,7.6,7.8,8,8.2,8.4,8.6,8.8,9,9.2,9.4,9.6,9.8,
Lifetime-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Residuals-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,

