Double exponential fitting
Ch/ROI,Pop1,Tau1,Pop2,Tau2,TauG,Tau0,Meantau,Frac1,Frac2,xi_square
ch1,41968.4697049771,2.6,32822.4647800284,1.1,0.117052057994329,1.48582949944329,0.445415166127089,0.561143806986276,0.438856193013725,48.04176045162
ch2,3424.83422016369,2.6,2520.93002891634,1.1,0.0948120961584221,0.917499644044814,0.448760406320002,0.576012447969763,0.423987552030237,30.7365225638566
Fitting Multi ROIs
ROI2-ch1,7693.37417699635,2.6,6319.32459218543,1.1,0.117052057994329,1.48582949944329,0.442632084246365,0.549028727707787,0.450971272292213,7.73507933723709
ROI3-ch1,3599.8791050449,2.6,1957.27614713387,1.1,0.117052057994329,1.48582949944329,0.463896590609612,0.647791710270018,0.352208289729982,3.65637000680253
ROI4-ch1,837.314338924941,2.6,652.478796009645,1.1,0.117052057994329,1.48582949944329,0.445617600072631,0.562033962494871,0.437966037505129,2.45799066152112
ROI6-ch1,6647.83504737516,2.6,6094.65500196152,1.1,0.117052057994329,1.48582949944329,0.436158290314372,0.52170612036077,0.47829387963923,8.03809145398194
ROI7-ch1,4464.47796045701,2.6,4053.82671841695,1.1,0.117052057994329,1.48582949944329,0.436737715029891,0.524104047549421,0.475895952450579,5.20921129153478
ROI8-ch1,7751.59039033989,2.6,6383.45901070213,1.1,0.117052057994329,1.48582949944329,0.442485055559552,0.548394998164524,0.451605001835476,7.93648127712505
ROI9-ch1,2989.68022902793,2.6,2464.43481167524,1.1,0.117052057994329,1.48582949944329,0.442428476663985,0.548151296171135,0.451848703828865,5.20344793357359
ROI10-ch1,1006.58466282451,2.6,747.867925968821,1.1,0.117052057994329,1.48582949944329,0.44825215983244,0.573731470006159,0.426268529993841,3.74363024668192
ROI11-ch1,1386.02246656531,2.6,1046.57283135865,1.1,0.117052057994329,1.48582949944329,0.44736548241957,0.569771086768185,0.430228913231815,3.99206114343968
ROI12-ch1,3023.67216196126,2.6,2166.91587745002,1.1,0.117052057994329,1.48582949944329,0.45020288775178,0.582529790267117,0.417470209732883,6.008038746738
ROI13-ch1,1381.59199379109,2.6,950.753569432283,1.1,0.117052057994329,1.48582949944329,0.452352126953944,0.592361618953963,0.407638381046037,3.40995874686867
ROI14-ch1,49.5679366254557,2.6,-2.27452420671792,1.1,0.117052057994329,1.48582949944329,0.52593942643675,1.0480938906793,-0.0480938906793021,1.83429621343051
ROI15-ch1,1001.21521853643,2.6,163.890406747876,1.1,0.117052057994329,1.48582949944329,0.500569420086683,0.859334292796086,0.140665707203914,7.37234794471035
ROI2-ch2,514.70134778725,2.6,529.34487125086,1.1,0.0948120961584221,0.917499644044814,0.429042672670521,0.492987128732145,0.507012871267855,5.57217029153057
ROI3-ch2,240.960949284113,2.6,144.168561958375,1.1,0.0948120961584221,0.917499644044814,0.459400583457506,0.625662127284755,0.374337872715245,3.01148659225244
ROI4-ch2,87.2923210468365,2.6,46.5107727393487,1.1,0.0948120961584221,0.917499644044814,0.464813566114705,0.652393891477039,0.347606108522962,1.92669160897052
ROI6-ch2,470.727049702551,2.6,477.115981006703,1.1,0.0948120961584221,0.917499644044814,0.429963595053354,0.496629752449954,0.503370247550046,3.77190894653738
ROI7-ch2,280.30325653856,2.6,350.729304576301,1.1,0.0948120961584221,0.917499644044814,0.416158589606977,0.444197770148883,0.555802229851117,3.18747432809201
ROI8-ch2,524.337143660491,2.6,519.256962895001,1.1,0.0948120961584221,0.917499644044814,0.431419793780805,0.502433983065628,0.497566016934372,4.72348147429538
ROI9-ch2,267.069129693192,2.6,192.065879538795,1.1,0.0948120961584221,0.917499644044814,0.450015363602908,0.581678862040882,0.418321137959118,3.13244508542563
ROI10-ch2,90.4825084335325,2.6,47.7911186116083,1.1,0.0948120961584221,0.917499644044814,0.465206001185347,0.654372857406811,0.345627142593189,2.46229298344898
ROI11-ch2,156.937066374754,2.6,78.4505208420231,1.1,0.0948120961584221,0.917499644044814,0.467628972568926,0.666717681379796,0.333282318620204,3.13758438672809
ROI12-ch2,281.633787139374,2.6,156.016666890663,1.1,0.0948120961584221,0.917499644044814,0.46303858114724,0.64351306972492,0.35648693027508,3.26279702237426
ROI13-ch2,146.827149129279,2.6,64.3296488946787,1.1,0.0948120961584221,0.917499644044814,0.473086928593634,0.695346541069543,0.304653458930457,1.96558017018195
ROI14-ch2,72.3305120496511,2.6,13.2515154111234,1.1,0.0948120961584221,0.917499644044814,0.498419431281901,0.845160066847014,0.154839933152987,2.85239834251371
ROI15-ch2,206.134779629295,2.6,4.96846861825511,1.1,0.0948120961584221,0.917499644044814,0.516971653176533,0.976464272058813,0.0235357279411866,4.58888372452226

Time-1,0.8,1,1.2,1.4,1.6,1.8,2,2.2,2.4,2.6,2.8,3,3.2,3.4,3.6,3.8,4,4.2,4.4,4.6,4.8,5,5.2,5.4,5.6,5.8,6,6.2,6.4,6.6,6.8,7,7.2,7.4,7.6,7.8,8,8.2,8.4,8.6,8.8,9,9.2,9.4,9.6,9.8,
Lifetime-1,704,766,934,17010,57258,65729,58822,51063,44151,38428,33753,29981,26758,24284,21920,20186,18730,16997,15967,14680,13584,12402,11851,10757,9812,9354,8592,7650,6776,6500,5922,5425,5074,4789,4518,4116,3706,3592,3229,2864,2635,2500,2217,2247,2163,2099,
Residuals-1,9.20698020486359,12.2548757978192,0.202335078804601,0.104361470888704,-0.981342801929664,14.264729755642,13.9207846272242,7.20987575791902,-0.155110588310068,-5.90971988782525,-9.78203900135828,-11.6398222543562,-12.8442794006276,-11.5360352221851,-11.4585509415819,-8.7036671435678,-5.37183431475831,-5.50278918966113,-1.40661628328512,-0.447313006508877,1.0307532947098,0.759517145133298,5.23853845912254,4.0059800826761,3.25941045085325,6.61438926236834,6.29157851871143,3.25162734100294,-0.0286730937665532,3.20548400933364,2.23090130066878,1.69315279669374,2.61655214992222,4.0480606455632,5.31184825293141,4.28406195614805,2.61226376042343,5.26915050629508,3.55771941771719,1.25080833764752,0.969325433471366,2.20215647411411,0.1558710637211,4.29681870574013,5.87532005334614,7.66278959023619,

Time-2,0.8,1,1.2,1.4,1.6,1.8,2,2.2,2.4,2.6,2.8,3,3.2,3.4,3.6,3.8,4,4.2,4.4,4.6,4.8,5,5.2,5.4,5.6,5.8,6,6.2,6.4,6.6,6.8,7,7.2,7.4,7.6,7.8,8,8.2,8.4,8.6,8.8,9,9.2,9.4,9.6,9.8,
Lifetime-2,656,4486,6248,5228,4162,3454,2924,2578,2230,2043,1914,1700,1637,1379,1340,1276,1109,1065,949,865,811,795,717,645,634,593,576,567,510,451,457,423,428,356,358,330,352,325,314,268,250,261,233,263,218,232,
Residuals-2,0.125213638090514,-0.443630054302706,15.1740877131841,10.0354543803468,2.22331528372076,-2.4090307785439,-5.5621714704203,-6.31821604399043,-8.07799055944997,-6.95787185395975,-4.99212330182801,-5.63602639811181,-2.89601155280494,-5.81664840057303,-3.0728290623181,-1.35997051279986,-3.01879124140465,-1.25090627977184,-2.04980857571589,-2.12055863465483,-1.38709466282886,0.507485976161559,-0.00695609464708034,-0.564300204179232,1.09015233400097,1.42344629109465,2.57324169971017,3.91107265697987,3.23825878437209,2.26366191152178,3.98721345620669,3.88351822322215,5.37518783587833,3.36177960949757,4.63694085799877,4.4193628979685,6.46093769534635,6.19476809563007,6.59043976510587,5.23153422513751,5.14575467974915,6.50104330888205,5.81262494788564,7.98735052237011,6.40165242300371,7.73058342848632,

