Double exponential fitting
Ch/ROI,Pop1,Tau1,Pop2,Tau2,TauG,Tau0,Meantau,Frac1,Frac2,xi_square
ch1,46012.1179742328,2.6,40072.0135516131,0.694122563480921,0.127234643160327,1.50379875118352,2.24046751549518,0.534501738690575,0.465498261309425,8.5304999381052
ch2,0,3.55,0,NaN,0.1,0.7,NaN,NaN,NaN,NaN
Fitting Multi ROIs
ROI2-ch1,8524.35449130291,2.6,7785.7952274259,0.694122563480921,0.127234643160327,1.50379875118352,2.22637591159368,0.522641093938854,0.477358906061146,2.92081253624352
ROI3-ch1,5242.65975579125,2.6,3292.31123885133,0.694122563480921,0.127234643160327,1.50379875118352,2.32635148583343,0.614256306094312,0.385743693905688,2.62762427982834
ROI4-ch1,779.341653019481,2.6,550.055534613514,0.694122563480921,0.127234643160327,1.50379875118352,2.29782106398023,0.586236875081033,0.413763124918967,0.973164364584776
ROI6-ch1,7759.3011517553,2.6,7476.10303648761,0.694122563480921,0.127234643160327,1.50379875118352,2.21006073191305,0.509294079493022,0.490705920506978,2.78067206860497
ROI7-ch1,4543.91044339039,2.6,4566.09202301813,0.694122563480921,0.127234643160327,1.50379875118352,2.19685639534041,0.498782570053657,0.501217429946343,1.71080318334839
ROI8-ch1,7927.83006362231,2.6,7458.49187874295,0.694122563480921,0.127234643160327,1.50379875118352,2.21740454406403,0.515251799183633,0.484748200816367,3.28834511555
ROI9-ch1,2554.95866199934,2.6,2271.83602922808,0.694122563480921,0.127234643160327,1.50379875118352,2.23436687624008,0.529328224099301,0.470671775900699,1.37565896500919
ROI10-ch1,1123.16180328926,2.6,916.547189255524,0.694122563480921,0.127234643160327,1.50379875118352,2.25906364745339,0.550648061755113,0.449351938244887,1.87181111706074
ROI11-ch1,1477.87427656403,2.6,1056.34199748366,0.694122563480921,0.127234643160327,1.50379875118352,2.29459386216087,0.583168173805288,0.416831826194712,2.36084472426209
ROI12-ch1,3743.32389475066,2.6,3026.45907295734,0.694122563480921,0.127234643160327,1.50379875118352,2.26165693110543,0.552945923467028,0.447054076532972,1.61265566595142
ROI13-ch1,2268.52671913026,2.6,1754.18770638987,0.694122563480921,0.127234643160327,1.50379875118352,2.27387504976144,0.563929346994833,0.436070653005167,1.68866762637776
ROI2-ch2,24.5,3.55,24.5,NaN,0.1,0.7,NaN,0.5,0.5,NaN
ROI3-ch2,24.5,3.55,24.5,NaN,0.1,0.7,NaN,0.5,0.5,NaN
ROI4-ch2,24.5,3.55,24.5,NaN,0.1,0.7,NaN,0.5,0.5,NaN
ROI6-ch2,24.5,3.55,24.5,NaN,0.1,0.7,NaN,0.5,0.5,NaN
ROI7-ch2,24.5,3.55,24.5,NaN,0.1,0.7,NaN,0.5,0.5,NaN
ROI8-ch2,24.5,3.55,24.5,NaN,0.1,0.7,NaN,0.5,0.5,NaN
ROI9-ch2,24.5,3.55,24.5,NaN,0.1,0.7,NaN,0.5,0.5,NaN
ROI10-ch2,24.5,3.55,24.5,NaN,0.1,0.7,NaN,0.5,0.5,NaN
ROI11-ch2,24.5,3.55,24.5,NaN,0.1,0.7,NaN,0.5,0.5,NaN
