Double exponential fitting
Ch/ROI,Pop1,Tau1,Pop2,Tau2,TauG,Tau0,Meantau,Frac1,Frac2,xi_square
ch1,51033.364694315,2.6,43269.5597808606,0.701042477205315,0.128385458789018,1.50461704544553,2.24665437961521,0.541164178930093,0.458835821069907,8.25286787106089
ch2,0,3.55,0,NaN,0.1,0.7,NaN,NaN,NaN,NaN
Fitting Multi ROIs
ROI2-ch1,10585.1881429767,2.6,9307.71997305698,0.701042477205315,0.128385458789018,1.50461704544553,2.23606050175756,0.53210863294769,0.46789136705231,4.61357011229715
ROI3-ch1,4986.169935828,2.6,3088.30745602706,0.701042477205315,0.128385458789018,1.50461704544553,2.32825116345513,0.617522310590365,0.382477689409635,2.69873021698297
ROI4-ch1,764.987719507946,2.6,535.94380906912,0.701042477205315,0.128385458789018,1.50461704544553,2.29827930714908,0.588030732366579,0.411969267633421,0.907786464214703
ROI6-ch1,8318.02515322469,2.6,7756.69285767307,0.701042477205315,0.128385458789018,1.50461704544553,2.21846535595205,0.517460097750115,0.482539902249885,1.29516863679287
ROI7-ch1,5046.31355752929,2.6,5018.91110613147,0.701042477205315,0.128385458789018,1.50461704544553,2.19844516099439,0.501361243902322,0.498638756097678,1.71555352412204
ROI8-ch1,9839.2223438403,2.6,8811.97854368891,0.701042477205315,0.128385458789018,1.50461704544553,2.23063249741784,0.527538275051185,0.472461724948815,3.2125368232376
ROI9-ch1,2547.71962506619,2.6,2126.911444761,0.701042477205315,0.128385458789018,1.50461704544553,2.25108976547875,0.545009774463416,0.454990225536584,2.48120818309294
ROI10-ch1,939.043976276646,2.6,749.178773757159,0.701042477205315,0.128385458789018,1.50461704544553,2.26382267449494,0.556232272227016,0.443767727772984,1.88365356533129
ROI11-ch1,1552.71665732733,2.6,1000.60435680565,0.701042477205315,0.128385458789018,1.50461704544553,2.31888864565255,0.608116507377188,0.391883492622812,2.55606575440571
ROI12-ch1,3817.9937919649,2.6,3047.99045150469,0.701042477205315,0.128385458789018,1.50461704544553,2.26364499823838,0.556073777127626,0.443926222872374,1.58393498083196
ROI13-ch1,2562.79191491019,2.6,1912.10731151641,0.701042477205315,0.128385458789018,1.50461704544553,2.28196160300589,0.572703827557853,0.427296172442147,1.58362224300839
ROI2-ch2,24.5,3.55,24.5,NaN,0.1,0.7,NaN,0.5,0.5,NaN
ROI3-ch2,24.5,3.55,24.5,NaN,0.1,0.7,NaN,0.5,0.5,NaN
ROI4-ch2,24.5,3.55,24.5,NaN,0.1,0.7,NaN,0.5,0.5,NaN
ROI6-ch2,24.5,3.55,24.5,NaN,0.1,0.7,NaN,0.5,0.5,NaN
ROI7-ch2,24.5,3.55,24.5,NaN,0.1,0.7,NaN,0.5,0.5,NaN
ROI8-ch2,24.5,3.55,24.5,NaN,0.1,0.7,NaN,0.5,0.5,NaN
ROI9-ch2,24.5,3.55,24.5,NaN,0.1,0.7,NaN,0.5,0.5,NaN
ROI10-ch2,24.5,3.55,24.5,NaN,0.1,0.7,NaN,0.5,0.5,NaN
ROI11-ch2,24.5,3.55,24.5,NaN,0.1,0.7,NaN,0.5,0.5,NaN
ROI12-ch2,24.5,3.55,24.5,NaN,0.1,0.7,NaN,0.5,0.5,NaN
