Double exponential fitting
Ch/ROI,Pop1,Tau1,Pop2,Tau2,TauG,Tau0,Meantau,Frac1,Frac2,xi_square
ch1,46814.8582296442,2.6,37820.9036082535,0.672747991849534,0.131043714577747,1.50975067009049,2.26678429755115,0.553133299837347,0.446866700162653,8.21857077213754
ch2,0,3.55,0,NaN,0.1,0.7,NaN,NaN,NaN,NaN
Fitting Multi ROIs
ROI2-ch1,9315.26591796613,2.6,7888.3841550532,0.672747991849534,0.131043714577747,1.50975067009049,2.25360968998212,0.541470320451086,0.458529679548914,3.70456263504952
ROI3-ch1,4732.57045795584,2.6,2900.64548619997,0.672747991849534,0.131043714577747,1.50975067009049,2.33619365030258,0.619996930858379,0.380003069141621,2.04764833295665
ROI4-ch1,867.152335158396,2.6,603.473403919771,0.672747991849534,0.131043714577747,1.50975067009049,2.3059152734722,0.589648550352419,0.410351449647581,0.967520848072953
ROI6-ch1,6871.12695205579,2.6,6273.16099539902,0.672747991849534,0.131043714577747,1.50975067009049,2.23172157374069,0.522746228591734,0.477253771408266,2.43573365364068
ROI7-ch1,4228.066404675,2.6,4142.9819877878,0.672747991849534,0.131043714577747,1.50975067009049,2.21019281049968,0.505082064569344,0.494917935430656,1.58775281596122
ROI8-ch1,9167.5728077724,2.6,8054.9567585902,0.672747991849534,0.131043714577747,1.50975067009049,2.24300733437608,0.532301179826547,0.467698820173453,3.17013944844926
ROI9-ch1,2958.52244009107,2.6,2265.44494224997,0.672747991849534,0.131043714577747,1.50975067009049,2.28129341576239,0.566336315592624,0.433663684407376,1.5039327397749
ROI10-ch1,1118.99646209001,2.6,722.796591135757,0.672747991849534,0.131043714577747,1.50975067009049,2.32401594206494,0.607558194516027,0.392441805483973,2.45679567406588
ROI11-ch1,1261.70311736579,2.6,754.558492476739,0.672747991849534,0.131043714577747,1.50975067009049,2.34173386767697,0.625763596949272,0.374236403050728,3.194589664721
ROI12-ch1,3696.88832449761,2.6,2464.77055037578,0.672747991849534,0.131043714577747,1.50975067009049,2.31644294984121,0.599982634477403,0.400017365522597,2.99941182688678
