Double exponential fitting
Ch/ROI,Pop1,Tau1,Pop2,Tau2,TauG,Tau0,Meantau,Frac1,Frac2,xi_square
ch1,49970.6962377861,2.6,43047.1159247842,0.708852798586736,0.129061811785862,1.50851639387704,2.24031813526171,0.53721642205958,0.46278357794042,7.76610487661442
ch2,0,3.55,0,NaN,0.1,0.7,NaN,NaN,NaN,NaN
Fitting Multi ROIs
ROI2-ch1,10627.4893936741,2.6,9281.37414596772,0.708852798586736,0.129061811785862,1.50851639387704,2.23630864676174,0.533806933404965,0.466193066595035,3.94726717643725
ROI3-ch1,4696.36860240922,2.6,2903.15617804655,0.708852798586736,0.129061811785862,1.50851639387704,2.32724393012306,0.617981878878427,0.382018121121573,2.20213101478963
ROI4-ch1,731.094012462624,2.6,563.696837429034,0.708852798586736,0.129061811785862,1.50851639387704,2.27151209620798,0.56464255406485,0.43535744593515,0.972524979307301
ROI6-ch1,8348.238735261,2.6,7841.47236054698,0.708852798586736,0.129061811785862,1.50851639387704,2.21444041777844,0.515650877638121,0.484349122361879,2.2026236478681
ROI7-ch1,5276.00060235322,2.6,5286.32164003053,0.708852798586736,0.129061811785862,1.50851639387704,2.19423860326495,0.499511421946781,0.500488578053219,1.96269839943747
ROI8-ch1,9366.82639735635,2.6,8568.16523600386,0.708852798586736,0.129061811785862,1.50851639387704,2.22250989390728,0.522265445607093,0.477734554392907,3.30054384237411
ROI9-ch1,2477.18972607406,2.6,2185.68405943529,0.708852798586736,0.129061811785862,1.50851639387704,2.23329162643219,0.531258155383131,0.468741844616869,1.64706742782887
ROI10-ch1,870.101021355346,2.6,625.367649671261,0.708852798586736,0.129061811785862,1.50851639387704,2.29014376878849,0.581824974479766,0.418175025520234,1.49650139054009
ROI11-ch1,1617.26864081198,2.6,1277.97290439149,0.708852798586736,0.129061811785862,1.50851639387704,2.2647917213625,0.558595410974016,0.441404589025984,2.89647711922261
ROI12-ch1,3643.30331320542,2.6,2823.250431065,0.708852798586736,0.129061811785862,1.50851639387704,2.27014631454335,0.563407257912842,0.436592742087158,2.34942010724109
ROI13-ch1,2247.75848465957,2.6,1755.47139719929,0.708852798586736,0.129061811785862,1.50851639387704,2.2680152152213,0.561486237611677,0.438513762388323,1.65480851996007
ROI2-ch2,24.5,3.55,24.5,NaN,0.1,0.7,NaN,0.5,0.5,NaN
ROI3-ch2,24.5,3.55,24.5,NaN,0.1,0.7,NaN,0.5,0.5,NaN
ROI4-ch2,24.5,3.55,24.5,NaN,0.1,0.7,NaN,0.5,0.5,NaN
ROI6-ch2,24.5,3.55,24.5,NaN,0.1,0.7,NaN,0.5,0.5,NaN
ROI7-ch2,24.5,3.55,24.5,NaN,0.1,0.7,NaN,0.5,0.5,NaN
ROI8-ch2,24.5,3.55,24.5,NaN,0.1,0.7,NaN,0.5,0.5,NaN
ROI9-ch2,24.5,3.55,24.5,NaN,0.1,0.7,NaN,0.5,0.5,NaN
ROI10-ch2,24.5,3.55,24.5,NaN,0.1,0.7,NaN,0.5,0.5,NaN
ROI11-ch2,24.5,3.55,24.5,NaN,0.1,0.7,NaN,0.5,0.5,NaN
ROI12-ch2,24.5,3.55,24.5,NaN,0.1,0.7,NaN,0.5,0.5,NaN
ROI13-ch2,24.5,3.55,24.5,NaN,0.1,0.7,NaN,0.5,0.5,NaN

Time-1,1.2,1.4,1.6,1.8,2,2.2,2.4,2.6,2.8,3,3.2,3.4,3.6,3.8,4,4.2,4.4,4.6,4.8,5,5.2,5.4,5.6,5.8,6,6.2,6.4,6.6,6.8,7,7.2,7.4,7.6,7.8,8,8.2,8.4,8.6,8.8,9,9.2,9.4,9.6,9.8,
Lifetime-1,1029,18555,62566,72347,64523,55799,48497,42597,37932,33673,29817,26833,24351,22402,20379,18778,17318,16279,15185,13839,12959,11852,10767,9938,9199,8604,7692,7133,6508,6059,5554,5090,4930,4589,4286,3796,3430,3036,2910,2691,2452,2340,2182,2167,
Residuals-1,-6.19591440476583,4.17981024026125,-3.15441686444241,-2.26110816353928,3.49822775480171,2.66093355357691,1.1171231827474,0.272730581518333,0.786741166108085,-0.505491431488054,-3.07963871232441,-3.52377451183358,-3.25697038981561,-1.49228584334658,-1.92327515904269,-0.895219324758222,-0.110721392563898,2.79769211893013,4.36401926042,2.96331485211162,4.58544030668765,3.46275418181027,1.66357861127635,1.51898968742543,1.61263788388806,2.61561025469085,-0.459183506097882,-0.227451541651603,-1.35060832742162,-0.818822554953443,-1.50509565063285,-2.16136155260835,1.08129332416807,1.41279811652658,1.931269595205,-0.889479431484826,-2.30671254061103,-4.80379778995366,-2.70592310123965,-2.66896945726782,-3.38807192804862,-1.77077614108171,-1.36915052055783,1.87784099741799,

Time-2,0.8,1,1.2,1.4,1.6,1.8,2,2.2,2.4,2.6,2.8,3,3.2,3.4,3.6,3.8,4,4.2,4.4,4.6,4.8,5,5.2,5.4,5.6,5.8,6,6.2,6.4,6.6,6.8,7,7.2,7.4,7.6,7.8,8,8.2,8.4,8.6,8.8,9,9.2,9.4,9.6,9.8,
Lifetime-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
