Double exponential fitting
Ch/ROI,Pop1,Tau1,Pop2,Tau2,TauG,Tau0,Meantau,Frac1,Frac2,xi_square
ch1,49296.7837562893,2.6,42413.3649870493,0.700918664987145,0.12865936904655,1.50472197147969,2.24245401237775,0.537528119098923,0.462471880901077,9.88728187297651
ch2,0,3.55,0,NaN,0.1,0.7,NaN,NaN,NaN,NaN
Fitting Multi ROIs
ROI2-ch1,9923.3950948779,2.6,8771.24036471942,0.700918664987145,0.12865936904655,1.50472197147969,2.2345581450866,0.530815116257509,0.469184883742491,3.69095206747261
ROI3-ch1,5204.8970244008,2.6,3196.13178103446,0.700918664987145,0.12865936904655,1.50472197147969,2.33027410226018,0.619554717040532,0.380445282959468,3.2366009936387
ROI4-ch1,762.308683095951,2.6,618.70134625185,0.700918664987145,0.12865936904655,1.50472197147969,2.25907715633984,0.551993589399174,0.448006410600826,1.41035003788482
ROI6-ch1,8249.7199118567,2.6,8162.3899322721,0.700918664987145,0.12865936904655,1.50472197147969,2.20011804616347,0.502660534825016,0.497339465174984,2.120958745431
ROI7-ch1,4601.45150870276,2.6,4668.49365455964,0.700918664987145,0.12865936904655,1.50472197147969,2.19213469489191,0.49638389738687,0.50361610261313,1.95390795807433
ROI8-ch1,9067.68115077218,2.6,8112.42710245466,0.700918664987145,0.12865936904655,1.50472197147969,2.23097467387816,0.527801164993768,0.472198835006232,3.36538893783365
ROI9-ch1,2700.48037626766,2.6,2146.55163588843,0.700918664987145,0.12865936904655,1.50472197147969,2.26486712755909,0.557141023516041,0.442858976483959,1.73226193276921
ROI10-ch1,818.460921901941,2.6,530.959901923038,0.700918664987145,0.12865936904655,1.50472197147969,2.31731325716648,0.606527561640842,0.393472438359158,1.58216737316102
ROI11-ch1,1485.46931818234,2.6,1012.57220964202,0.700918664987145,0.12865936904655,1.50472197147969,2.3051944683627,0.594653572263105,0.405346427736894,1.78131579788824
ROI12-ch1,3909.78731337495,2.6,3255.3818829999,0.700918664987145,0.12865936904655,1.50472197147969,2.25187012626882,0.545665734642117,0.454334265357883,1.86882602488667
ROI13-ch1,2506.55275392488,2.6,2021.13339079395,0.700918664987145,0.12865936904655,1.50472197147969,2.26089742347358,0.553605677118005,0.446394322881995,1.61545598547086
ROI2-ch2,24.5,3.55,24.5,NaN,0.1,0.7,NaN,0.5,0.5,NaN
ROI3-ch2,24.5,3.55,24.5,NaN,0.1,0.7,NaN,0.5,0.5,NaN
ROI4-ch2,24.5,3.55,24.5,NaN,0.1,0.7,NaN,0.5,0.5,NaN
ROI6-ch2,24.5,3.55,24.5,NaN,0.1,0.7,NaN,0.5,0.5,NaN
ROI7-ch2,24.5,3.55,24.5,NaN,0.1,0.7,NaN,0.5,0.5,NaN
ROI8-ch2,24.5,3.55,24.5,NaN,0.1,0.7,NaN,0.5,0.5,NaN
ROI9-ch2,24.5,3.55,24.5,NaN,0.1,0.7,NaN,0.5,0.5,NaN
ROI10-ch2,24.5,3.55,24.5,NaN,0.1,0.7,NaN,0.5,0.5,NaN
ROI11-ch2,24.5,3.55,24.5,NaN,0.1,0.7,NaN,0.5,0.5,NaN
ROI12-ch2,24.5,3.55,24.5,NaN,0.1,0.7,NaN,0.5,0.5,NaN
ROI13-ch2,24.5,3.55,24.5,NaN,0.1,0.7,NaN,0.5,0.5,NaN

Time-1,1.2,1.4,1.6,1.8,2,2.2,2.4,2.6,2.8,3,3.2,3.4,3.6,3.8,4,4.2,4.4,4.6,4.8,5,5.2,5.4,5.6,5.8,6,6.2,6.4,6.6,6.8,7,7.2,7.4,7.6,7.8,8,8.2,8.4,8.6,8.8,9,9.2,9.4,9.6,9.8,
Lifetime-1,1030,19051,62192,70704,63243,55326,48178,41761,36800,32898,29180,26134,23827,21784,20119,18184,17392,15974,14908,13751,12718,11475,10780,9978,9141,8213,7640,6956,6451,5900,5527,5124,4694,4387,4082,3756,3442,3145,2796,2661,2420,2448,2226,2150,
Residuals-1,-7.02907082829247,4.90527405288225,-3.69465063381113,-3.73315499258007,3.30605646017459,5.25863207978303,4.01010281558063,0.293222812054664,-1.24460460673928,-1.18296009699986,-3.4594548376323,-4.72397716925483,-3.73303216998908,-2.94271734895991,-1.19891451058177,-2.88612224871244,2.6887779384281,2.52228888434555,4.11691261758521,4.09733003976238,4.26794859345757,1.70717721173101,3.39919458757823,3.45114034406833,2.48259444497707,-0.210844090905876,0.304886108737912,-1.03959185441959,-0.809740632177434,-1.68805674890239,-0.716599110563914,-0.571283497848875,-1.26719431256734,-0.582713922770513,-0.234537736835115,-0.602717275278728,-1.18597320635231,-1.89343602120339,-4.05029948345476,-2.44397415884706,-3.26363872550408,1.18518078427024,0.28913512298092,2.18932048771564,

Time-2,0.8,1,1.2,1.4,1.6,1.8,2,2.2,2.4,2.6,2.8,3,3.2,3.4,3.6,3.8,4,4.2,4.4,4.6,4.8,5,5.2,5.4,5.6,5.8,6,6.2,6.4,6.6,6.8,7,7.2,7.4,7.6,7.8,8,8.2,8.4,8.6,8.8,9,9.2,9.4,9.6,9.8,
Lifetime-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
