Double exponential fitting
Ch/ROI,Pop1,Tau1,Pop2,Tau2,TauG,Tau0,Meantau,Frac1,Frac2,xi_square
ch1,50481.2388387925,2.6,42540.1995040081,0.702041201730684,0.129575415494315,1.50716168408125,2.24818876037645,0.542683920375001,0.457316079624999,9.43573827299377
ch2,0,3.55,0,NaN,0.1,0.7,NaN,NaN,NaN,NaN
Fitting Multi ROIs
ROI2-ch1,10224.6666255623,2.6,8749.64273994572,0.702041201730684,0.129575415494315,1.50716168408125,2.24376472915114,0.538868974285249,0.461131025714751,2.92627901643927
ROI3-ch1,5050.89305536706,2.6,3092.198742004,0.702041201730684,0.129575415494315,1.50716168408125,2.33076265678236,0.62026723768455,0.37973276231545,2.85301812304156
ROI4-ch1,791.547181376385,2.6,539.302891673512,0.702041201730684,0.129575415494315,1.50716168408125,2.3050886011881,0.594768109049582,0.405231890950418,1.32833443998628
ROI6-ch1,7999.68352275982,2.6,7521.91695402528,0.702041201730684,0.129575415494315,1.50716168408125,2.21569817481945,0.515390377089306,0.484609622910694,2.6930805750201
ROI7-ch1,4756.97285381987,2.6,4792.86982803832,0.702041201730684,0.129575415494315,1.50716168408125,2.19408449643489,0.498120546305614,0.501879453694386,1.95834066277156
ROI8-ch1,9933.62281297989,2.6,9022.3365794198,0.702041201730684,0.129575415494315,1.50716168408125,2.2262058527384,0.52403693252069,0.47596306747931,4.29886016651548
ROI9-ch1,2683.60278219457,2.6,2068.43548125853,0.702041201730684,0.129575415494315,1.50716168408125,2.27304359775464,0.564726677988597,0.435273322011403,2.65160448712903
ROI10-ch1,1052.33281319688,2.6,727.598702691772,0.702041201730684,0.129575415494315,1.50716168408125,2.30140917907189,0.591220956426232,0.408779043573768,2.46463446645181
ROI11-ch1,1417.8718655106,2.6,1027.57710707098,0.702041201730684,0.129575415494315,1.50716168408125,2.28937586992251,0.579800225401472,0.420199774598528,2.79279602017023
ROI12-ch1,3835.91173571733,2.6,2933.58250537977,0.702041201730684,0.129575415494315,1.50716168408125,2.27515319689943,0.566646724127453,0.433353275872547,1.53013209437458
ROI13-ch1,2655.22597842184,2.6,2150.67672432647,0.702041201730684,0.129575415494315,1.50716168408125,2.25939553614214,0.552492662180493,0.447507337819507,2.18010809853307
ROI2-ch2,24.5,3.55,24.5,NaN,0.1,0.7,NaN,0.5,0.5,NaN
ROI3-ch2,24.5,3.55,24.5,NaN,0.1,0.7,NaN,0.5,0.5,NaN
ROI4-ch2,24.5,3.55,24.5,NaN,0.1,0.7,NaN,0.5,0.5,NaN
ROI6-ch2,24.5,3.55,24.5,NaN,0.1,0.7,NaN,0.5,0.5,NaN
ROI7-ch2,24.5,3.55,24.5,NaN,0.1,0.7,NaN,0.5,0.5,NaN
ROI8-ch2,24.5,3.55,24.5,NaN,0.1,0.7,NaN,0.5,0.5,NaN
ROI9-ch2,24.5,3.55,24.5,NaN,0.1,0.7,NaN,0.5,0.5,NaN
ROI10-ch2,24.5,3.55,24.5,NaN,0.1,0.7,NaN,0.5,0.5,NaN
ROI11-ch2,24.5,3.55,24.5,NaN,0.1,0.7,NaN,0.5,0.5,NaN
ROI12-ch2,24.5,3.55,24.5,NaN,0.1,0.7,NaN,0.5,0.5,NaN
ROI13-ch2,24.5,3.55,24.5,NaN,0.1,0.7,NaN,0.5,0.5,NaN

Time-1,1.2,1.4,1.6,1.8,2,2.2,2.4,2.6,2.8,3,3.2,3.4,3.6,3.8,4,4.2,4.4,4.6,4.8,5,5.2,5.4,5.6,5.8,6,6.2,6.4,6.6,6.8,7,7.2,7.4,7.6,7.8,8,8.2,8.4,8.6,8.8,9,9.2,9.4,9.6,9.8,
Lifetime-1,1063,18932,62694,71970,64309,56033,48990,43273,37968,33710,29455,26669,24344,22481,20717,18691,17585,16482,14955,14034,13015,11913,10840,10273,9414,8465,7808,6952,6493,6144,5673,5272,5000,4606,4152,3862,3466,3244,2957,2665,2527,2465,2381,2185,
