Double exponential fitting
Ch/ROI,Pop1,Tau1,Pop2,Tau2,TauG,Tau0,Meantau,Frac1,Frac2,xi_square
ch1,44632.4445991392,2.6,35240.9465658825,1.1,0.117922789158659,1.48243916285367,0.444878511391645,0.558789904223883,0.441210095776117,50.437610299059
ch2,3688.78411389699,2.6,2467.51099661002,1.1,0.092525514037368,0.914432137858137,0.453825927749896,0.599188967988442,0.400811032011558,30.4126331636043
Fitting Multi ROIs
ROI2-ch1,9351.36584728473,2.6,7838.96830612584,1.1,0.117922789158659,1.48243916285367,0.44145898587318,0.543989765634045,0.456010234365955,8.19432755777325
ROI3-ch1,4479.24975544362,2.6,2322.18848748852,1.1,0.117922789158659,1.48243916285367,0.466035383435934,0.658573906790719,0.341426093209281,5.32864927442413
ROI4-ch1,443.455387747861,2.6,276.48264886445,1.1,0.117922789158659,1.48243916285367,0.457383611440483,0.615963270720565,0.384036729279435,2.40606763276499
ROI6-ch1,7557.60560157676,2.6,7074.686628036,1.1,0.117922789158659,1.48243916285367,0.434893097219278,0.516501822337973,0.483498177662027,10.0128770523474
ROI7-ch1,4463.62920693638,2.6,4223.60585280281,1.1,0.117922789158659,1.48243916285367,0.434235713376147,0.51381471506659,0.48618528493341,6.69360616115565
ROI8-ch1,6689.22249006372,2.6,5980.4836124789,1.1,0.117922789158659,1.48243916285367,0.437667185419009,0.527969823129622,0.472030176870378,7.10868665324915
ROI9-ch1,2306.05097303308,2.6,1802.54454246353,1.1,0.117922789158659,1.48243916285367,0.445444964774519,0.561274762710329,0.438725237289671,5.07989786182322
ROI10-ch1,1077.71139022323,2.6,787.476420298259,1.1,0.117922789158659,1.48243916285367,0.449158170412892,0.577803148907515,0.422196851092485,2.70145675780898
ROI11-ch1,1554.07421588211,2.6,1061.64984537633,1.1,0.117922789158659,1.48243916285367,0.452734827413932,0.594127736522191,0.405872263477809,4.68251288245134
ROI12-ch1,3410.21438893477,2.6,2591.27350976563,1.1,0.117922789158659,1.48243916285367,0.447018579534576,0.568228153833859,0.431771846166141,6.9304968137916
ROI13-ch1,1941.5992869564,2.6,1372.65571743189,1.1,0.117922789158659,1.48243916285367,0.450928499536474,0.585832799342717,0.414167200657283,3.00708505808487
ROI14-ch1,100.885030712191,2.6,-29.2101429839317,1.1,0.117922789158659,1.48243916285367,0.561879265010363,1.4075366409317,-0.407536640931701,2.47931937487228
