Double exponential fitting
Ch/ROI,Pop1,Tau1,Pop2,Tau2,TauG,Tau0,Meantau,Frac1,Frac2,xi_square
ch1,49050.4269398773,2.6,42108.5952834778,0.739987657083341,0.126245401120669,1.50363120197125,2.23477634903758,0.538075395540064,0.461924604459936,8.74120177490405
ch2,0,3.55,0,NaN,0.1,0.7,NaN,NaN,NaN,NaN
Fitting Multi ROIs
ROI2-ch1,10404.6826950458,2.6,9159.40713642751,0.739987657083341,0.126245401120669,1.50363120197125,2.22734635818531,0.531825542852879,0.468174457147121,4.78206670154834
ROI3-ch1,4626.33055402208,2.6,2755.45232709091,0.739987657083341,0.126245401120669,1.50363120197125,2.33040147617251,0.62672265339299,0.37327734660701,3.04674466081641
ROI4-ch1,702.635882703098,2.6,528.866338279353,0.739987657083341,0.126245401120669,1.50363120197125,2.27184125042697,0.570551859941072,0.429448140058929,1.64036507638267
ROI6-ch1,8184.36976662673,2.6,8037.62365567225,0.739987657083341,0.126245401120669,1.50363120197125,2.19368156776907,0.504523060364233,0.495476939635767,2.05737875862804
ROI7-ch1,5144.25642327953,2.6,5035.0553291621,0.739987657083341,0.126245401120669,1.50363120197125,2.19474869090529,0.505363874138703,0.494636125861297,2.32786943553974
ROI8-ch1,9080.8736955417,2.6,8328.36683651335,0.739987657083341,0.126245401120669,1.50363120197125,2.21498716037409,0.521612282788637,0.478387717211363,3.08485645057896
ROI9-ch1,2546.18529898339,2.6,2103.91227198057,0.739987657083341,0.126245401120669,1.50363120197125,2.24585873082868,0.547555241610892,0.452444758389108,1.55644616485692
ROI10-ch1,846.302023771071,2.6,649.794441710517,0.739987657083341,0.126245401120669,1.50363120197125,2.26643305061341,0.565673433028698,0.434326566971302,1.80403199078421
ROI11-ch1,1658.38434137628,2.6,1190.28381394245,0.739987657083341,0.126245401120669,1.50363120197125,2.28449488026937,0.582161294666745,0.417838705333255,2.92020585331537
ROI12-ch1,3633.41085077177,2.6,2817.00607530857,0.739987657083341,0.126245401120669,1.50363120197125,2.26376310007099,0.563283101295539,0.436716898704461,1.78689651888201
ROI13-ch1,2132.05008526535,2.6,1624.75439585948,0.739987657083341,0.126245401120669,1.50363120197125,2.26848314936359,0.567516913903113,0.432483086096887,2.03790778528773
ROI2-ch2,24.5,3.55,24.5,NaN,0.1,0.7,NaN,0.5,0.5,NaN
ROI3-ch2,24.5,3.55,24.5,NaN,0.1,0.7,NaN,0.5,0.5,NaN
ROI4-ch2,24.5,3.55,24.5,NaN,0.1,0.7,NaN,0.5,0.5,NaN
ROI6-ch2,24.5,3.55,24.5,NaN,0.1,0.7,NaN,0.5,0.5,NaN
ROI7-ch2,24.5,3.55,24.5,NaN,0.1,0.7,NaN,0.5,0.5,NaN
ROI8-ch2,24.5,3.55,24.5,NaN,0.1,0.7,NaN,0.5,0.5,NaN
ROI9-ch2,24.5,3.55,24.5,NaN,0.1,0.7,NaN,0.5,0.5,NaN
ROI10-ch2,24.5,3.55,24.5,NaN,0.1,0.7,NaN,0.5,0.5,NaN
ROI11-ch2,24.5,3.55,24.5,NaN,0.1,0.7,NaN,0.5,0.5,NaN
ROI12-ch2,24.5,3.55,24.5,NaN,0.1,0.7,NaN,0.5,0.5,NaN
ROI13-ch2,24.5,3.55,24.5,NaN,0.1,0.7,NaN,0.5,0.5,NaN

Time-1,1.2,1.4,1.6,1.8,2,2.2,2.4,2.6,2.8,3,3.2,3.4,3.6,3.8,4,4.2,4.4,4.6,4.8,5,5.2,5.4,5.6,5.8,6,6.2,6.4,6.6,6.8,7,7.2,7.4,7.6,7.8,8,8.2,8.4,8.6,8.8,9,9.2,9.4,9.6,9.8,
Lifetime-1,943,18870,62530,71524,63418,55565,48310,42106,37396,33312,29369,26396,24565,22005,20429,18714,17173,15939,14693,13667,12654,11629,10688,9937,9249,8117,7591,6809,6433,5953,5597,5137,4757,4343,4060,3726,3386,3120,2781,2590,2348,2367,2278,2089,
Residuals-1,-7.57202964768004,5.19609854737769,-4.3460444487249,-1.47283913643795,2.62775941247571,4.27567410524997,2.30364864013867,-0.424029920639008,-0.477354107976794,-1.06466399337612,-4.29388209210082,-4.78423477346541,-0.383917840626888,-2.61366683443843,0.0457331444041503,0.3066195437788,0.498350386273552,1.87536588438773,2.1390664739873,3.27440188487238,3.68966639387587,3.18349224592119,2.64861230869712,3.22319967872862,3.80746815555653,-1.02314422040708,0.0207808075247339,-2.53270052142739,-0.726691733625036,-0.6773103917421,0.541349979406775,-0.0690153444916566,-0.0265862720453632,-0.935587186702496,-0.268960299273849,-0.78963587543741,-1.85507080228714,-2.05227502304278,-4.05173786089487,-3.58767086685743,-4.5201184122998,-0.200529457084403,1.62121023251232,1.12530383427717,

Time-2,0.8,1,1.2,1.4,1.6,1.8,2,2.2,2.4,2.6,2.8,3,3.2,3.4,3.6,3.8,4,4.2,4.4,4.6,4.8,5,5.2,5.4,5.6,5.8,6,6.2,6.4,6.6,6.8,7,7.2,7.4,7.6,7.8,8,8.2,8.4,8.6,8.8,9,9.2,9.4,9.6,9.8,
Lifetime-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Residuals-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,

