Double exponential fitting
Ch/ROI,Pop1,Tau1,Pop2,Tau2,TauG,Tau0,Meantau,Frac1,Frac2,xi_square
ch1,48056.4053087209,2.6,39381.8787686458,0.682862209637435,0.129937771357565,1.5094321810732,2.26045342154029,0.54960370981434,0.450396290185659,11.193851281208
ch2,0,3.55,0,NaN,0.1,0.7,NaN,NaN,NaN,NaN
Fitting Multi ROIs
ROI2-ch1,9317.44028601915,2.6,8096.36075446606,0.682862209637435,0.129937771357565,1.5094321810732,2.24377018614724,0.535060683440514,0.464939316559486,4.43955797506188
ROI3-ch1,4945.24220107593,2.6,3083.03568406968,0.682862209637435,0.129937771357565,1.5094321810732,2.33025794961403,0.615977955898352,0.384022044101648,4.18073986066563
ROI4-ch1,858.884983585899,2.6,605.075187361534,0.682862209637435,0.129937771357565,1.5094321810732,2.30066375221042,0.586686031922612,0.413313968077388,1.89335738336414
ROI6-ch1,7388.08291755139,2.6,6553.52459105834,0.682862209637435,0.129937771357565,1.5094321810732,2.23775435485039,0.529930491371876,0.470069508628124,1.97944580968456
ROI7-ch1,4405.15219415913,2.6,4261.61877041038,0.682862209637435,0.129937771357565,1.5094321810732,2.21158060906442,0.508280674794311,0.491719325205689,1.76064742025984
ROI8-ch1,9448.53123006731,2.6,8409.42086035697,0.682862209637435,0.129937771357565,1.5094321810732,2.23676657702216,0.529093771907573,0.470906228092427,4.50360824642272
ROI9-ch1,2717.96862131568,2.6,2156.60102253919,0.682862209637435,0.129937771357565,1.5094321810732,2.26937941777028,0.557581247144985,0.442418752855015,1.80842329026327
ROI10-ch1,1102.3563683369,2.6,688.085803665795,0.682862209637435,0.129937771357565,1.5094321810732,2.32997517183511,0.615689456813822,0.384310543186178,3.44807401624041
ROI11-ch1,1289.29004351305,2.6,748.922747715017,0.682862209637435,0.129937771357565,1.5094321810732,2.34623297492207,0.632559097392489,0.367440902607511,2.75255136932481
ROI12-ch1,3738.96679053815,2.6,2862.27825766564,0.682862209637435,0.129937771357565,1.5094321810732,2.2790705630532,0.566403271388255,0.433596728611745,1.98385722790695
ROI13-ch1,2757.14628759428,2.6,2021.78710412098,0.682862209637435,0.129937771357565,1.5094321810732,2.29040264027623,0.576937584519185,0.423062415480815,2.00235664337862
ROI2-ch2,24.5,3.55,24.5,NaN,0.1,0.7,NaN,0.5,0.5,NaN
ROI3-ch2,24.5,3.55,24.5,NaN,0.1,0.7,NaN,0.5,0.5,NaN
ROI4-ch2,24.5,3.55,24.5,NaN,0.1,0.7,NaN,0.5,0.5,NaN
ROI6-ch2,24.5,3.55,24.5,NaN,0.1,0.7,NaN,0.5,0.5,NaN
ROI7-ch2,24.5,3.55,24.5,NaN,0.1,0.7,NaN,0.5,0.5,NaN
ROI8-ch2,24.5,3.55,24.5,NaN,0.1,0.7,NaN,0.5,0.5,NaN
ROI9-ch2,24.5,3.55,24.5,NaN,0.1,0.7,NaN,0.5,0.5,NaN
ROI10-ch2,24.5,3.55,24.5,NaN,0.1,0.7,NaN,0.5,0.5,NaN
ROI11-ch2,24.5,3.55,24.5,NaN,0.1,0.7,NaN,0.5,0.5,NaN
ROI12-ch2,24.5,3.55,24.5,NaN,0.1,0.7,NaN,0.5,0.5,NaN
ROI13-ch2,24.5,3.55,24.5,NaN,0.1,0.7,NaN,0.5,0.5,NaN

