Double exponential fitting
Ch/ROI,Pop1,Tau1,Pop2,Tau2,TauG,Tau0,Meantau,Frac1,Frac2,xi_square
ch1,48233.4685658961,2.6,41175.9565416479,0.684270584723025,0.129295893893767,1.50631649553559,2.24854966391721,0.539467382861255,0.460532617138745,8.79894089235195
ch2,0,3.55,0,NaN,0.1,0.7,NaN,NaN,NaN,NaN
Fitting Multi ROIs
ROI2-ch1,9470.11732292252,2.6,8496.25455391013,0.684270584723025,0.129295893893767,1.50631649553559,2.23406716681503,0.527102377032176,0.472897622967824,3.3241268356318
ROI3-ch1,5225.80844255684,2.6,3328.55695758268,0.684270584723025,0.129295893893767,1.50631649553559,2.32496675431566,0.610893759865765,0.389106240134235,2.64642178804984
ROI4-ch1,731.63515767002,2.6,519.586162946898,0.684270584723025,0.129295893893767,1.50631649553559,2.29832711622168,0.584736805243444,0.415263194756556,1.73948176060072
ROI6-ch1,7787.18827806138,2.6,7525.75796132731,0.684270584723025,0.129295893893767,1.50631649553559,2.21154467530966,0.508536251373416,0.491463748626584,2.11965227055417
ROI7-ch1,4379.42691894974,2.6,4385.02689493819,0.684270584723025,0.129295893893767,1.50631649553559,2.20045803693311,0.499680529094718,0.500319470905282,2.13108258563021
ROI8-ch1,9085.92916098883,2.6,8175.39370119875,0.684270584723025,0.129295893893767,1.50631649553559,2.23320262696562,0.526375019662736,0.473624980337264,3.38970965772987
ROI9-ch1,2737.52448632866,2.6,2225.63118424836,0.684270584723025,0.129295893893767,1.50631649553559,2.26234243690597,0.551569337741605,0.448430662258395,1.77757140014545
ROI10-ch1,848.820524688159,2.6,638.275927836568,0.684270584723025,0.129295893893767,1.50631649553559,2.28350962955508,0.570790497984895,0.429209502015105,2.04179911609917
ROI11-ch1,1372.67868537044,2.6,854.843826110335,0.684270584723025,0.129295893893767,1.50631649553559,2.33023112982855,0.616235606282576,0.383764393717424,3.15781300559372
ROI12-ch1,3891.08465076137,2.6,3124.0290928691,0.684270584723025,0.129295893893767,1.50631649553559,2.26581922185148,0.554671640826119,0.445328359173881,2.31877054980026
ROI13-ch1,2618.68220459728,2.6,2015.64227943409,0.684270584723025,0.129295893893767,1.50631649553559,2.27729381174096,0.565062332950692,0.434937667049308,2.03452187498293
ROI2-ch2,24.5,3.55,24.5,NaN,0.1,0.7,NaN,0.5,0.5,NaN
ROI3-ch2,24.5,3.55,24.5,NaN,0.1,0.7,NaN,0.5,0.5,NaN
ROI4-ch2,24.5,3.55,24.5,NaN,0.1,0.7,NaN,0.5,0.5,NaN
ROI6-ch2,24.5,3.55,24.5,NaN,0.1,0.7,NaN,0.5,0.5,NaN
ROI7-ch2,24.5,3.55,24.5,NaN,0.1,0.7,NaN,0.5,0.5,NaN
ROI8-ch2,24.5,3.55,24.5,NaN,0.1,0.7,NaN,0.5,0.5,NaN
ROI9-ch2,24.5,3.55,24.5,NaN,0.1,0.7,NaN,0.5,0.5,NaN
ROI10-ch2,24.5,3.55,24.5,NaN,0.1,0.7,NaN,0.5,0.5,NaN
ROI11-ch2,24.5,3.55,24.5,NaN,0.1,0.7,NaN,0.5,0.5,NaN
ROI12-ch2,24.5,3.55,24.5,NaN,0.1,0.7,NaN,0.5,0.5,NaN
ROI13-ch2,24.5,3.55,24.5,NaN,0.1,0.7,NaN,0.5,0.5,NaN

Time-1,1.2,1.4,1.6,1.8,2,2.2,2.4,2.6,2.8,3,3.2,3.4,3.6,3.8,4,4.2,4.4,4.6,4.8,5,5.2,5.4,5.6,5.8,6,6.2,6.4,6.6,6.8,7,7.2,7.4,7.6,7.8,8,8.2,8.4,8.6,8.8,9,9.2,9.4,9.6,9.8,
Lifetime-1,1028,18261,60325,68744,61568,53438,46358,40832,35972,31571,28198,25965,23168,21221,19432,18054,16623,15337,14437,13450,12545,11505,10437,9619,9032,8114,7343,6780,6312,5732,5299,5002,4589,4358,4039,3768,3468,3068,2805,2551,2349,2276,2234,2116,
Residuals-1,-6.11489092835906,4.16926621897345,-3.0092055939161,-3.68617974327407,3.72485329124901,4.03859453152606,2.18136921488807,1.8722990237519,0.180980183555502,-3.21072476004299,-4.26462267929228,-1.0894017149106,-3.70995126016203,-2.75856747853493,-2.34299453940953,-0.335865054222578,0.0827308032464024,0.518294399074433,3.13566856008569,4.24087566017184,5.28397098951975,4.3898575873363,2.40037270431395,2.04720468706189,3.42244740095907,0.693495416601839,-1.21963407852797,-1.33850948975038,-0.801414582267801,-2.22347126170209,-2.22589661722909,-0.747588771066372,-1.33224615725085,0.397143796192865,0.451584819957629,0.899037200013039,0.517980380219674,-2.07026232335379,-2.67724181575596,-3.51312245390817,-3.65812067799787,-1.32376734300108,1.44098262828198,2.40268464996046,

Time-2,0.8,1,1.2,1.4,1.6,1.8,2,2.2,2.4,2.6,2.8,3,3.2,3.4,3.6,3.8,4,4.2,4.4,4.6,4.8,5,5.2,5.4,5.6,5.8,6,6.2,6.4,6.6,6.8,7,7.2,7.4,7.6,7.8,8,8.2,8.4,8.6,8.8,9,9.2,9.4,9.6,9.8,
