Double exponential fitting
Ch/ROI,Pop1,Tau1,Pop2,Tau2,TauG,Tau0,Meantau,Frac1,Frac2,xi_square
ch1,50436.7662826328,2.6,43407.5211892593,0.700290007077941,0.129439627646771,1.50752782777008,2.24250681657529,0.537451640812334,0.462548359187666,10.4043865803086
ch2,0,3.55,0,NaN,0.1,0.7,NaN,NaN,NaN,NaN
Fitting Multi ROIs
ROI2-ch1,10590.6153490629,2.6,9417.21992500918,0.700290007077941,0.129439627646771,1.50752782777008,2.23293179928176,0.529323397758434,0.470676602241566,4.58292637825508
ROI3-ch1,4708.24681744977,2.6,2986.03384765545,0.700290007077941,0.129439627646771,1.50752782777008,2.32283584641262,0.611915138318571,0.388084861681429,3.29964536283758
ROI4-ch1,759.838809444861,2.6,501.274324664019,0.700290007077941,0.129439627646771,1.50752782777008,2.31337401757939,0.602514388989988,0.397485611010012,1.53040240914381
ROI6-ch1,8562.53717549985,2.6,7824.57349450511,0.700290007077941,0.129439627646771,1.50752782777008,2.22477904039995,0.522516589283354,0.477483410716646,2.5705085957464
ROI7-ch1,5157.66803865326,2.6,5231.42294620536,0.700290007077941,0.129439627646771,1.50752782777008,2.19237221462449,0.496450367618322,0.503549632381678,2.0866297848242
ROI8-ch1,9475.27080311962,2.6,8743.29972932291,0.700290007077941,0.129439627646771,1.50752782777008,2.22184072949789,0.520088597853856,0.479911402146144,4.35641303035363
ROI9-ch1,2649.7904298872,2.6,2244.46980134462,0.700290007077941,0.129439627646771,1.50752782777008,2.24710520625914,0.541407752080294,0.458592247919706,2.10336048341059
ROI10-ch1,859.455813670166,2.6,692.984410166198,0.700290007077941,0.129439627646771,1.50752782777008,2.26104680801673,0.553616042971557,0.446383957028443,2.18363431559064
ROI11-ch1,1620.79449020302,2.6,1249.37785032511,0.700290007077941,0.129439627646771,1.50752782777008,2.27339169186157,0.564702846347124,0.435297153652876,2.4797276575136
ROI12-ch1,3657.0677211961,2.6,2993.54538045102,0.700290007077941,0.129439627646771,1.50752782777008,2.25682456555935,0.549884298680729,0.450115701319271,1.60121133021068
ROI13-ch1,2315.81047130136,2.6,1614.58886389959,0.700290007077941,0.129439627646771,1.50752782777008,2.29966041467548,0.589204880674793,0.410795119325207,1.63295286547907
ROI2-ch2,24.5,3.55,24.5,NaN,0.1,0.7,NaN,0.5,0.5,NaN
ROI3-ch2,24.5,3.55,24.5,NaN,0.1,0.7,NaN,0.5,0.5,NaN
ROI4-ch2,24.5,3.55,24.5,NaN,0.1,0.7,NaN,0.5,0.5,NaN
ROI6-ch2,24.5,3.55,24.5,NaN,0.1,0.7,NaN,0.5,0.5,NaN
ROI7-ch2,24.5,3.55,24.5,NaN,0.1,0.7,NaN,0.5,0.5,NaN
ROI8-ch2,24.5,3.55,24.5,NaN,0.1,0.7,NaN,0.5,0.5,NaN
ROI9-ch2,24.5,3.55,24.5,NaN,0.1,0.7,NaN,0.5,0.5,NaN
ROI10-ch2,24.5,3.55,24.5,NaN,0.1,0.7,NaN,0.5,0.5,NaN
ROI11-ch2,24.5,3.55,24.5,NaN,0.1,0.7,NaN,0.5,0.5,NaN
ROI12-ch2,24.5,3.55,24.5,NaN,0.1,0.7,NaN,0.5,0.5,NaN
ROI13-ch2,24.5,3.55,24.5,NaN,0.1,0.7,NaN,0.5,0.5,NaN

Time-1,1.2,1.4,1.6,1.8,2,2.2,2.4,2.6,2.8,3,3.2,3.4,3.6,3.8,4,4.2,4.4,4.6,4.8,5,5.2,5.4,5.6,5.8,6,6.2,6.4,6.6,6.8,7,7.2,7.4,7.6,7.8,8,8.2,8.4,8.6,8.8,9,9.2,9.4,9.6,9.8,
Lifetime-1,1057,18986,63197,72216,65119,56316,49337,43216,37863,33150,29771,26876,24564,22413,20651,18893,17364,16525,15243,14037,13032,11907,10944,10282,9336,8484,7567,7036,6619,6159,5739,5221,4865,4589,4238,3801,3571,3101,2850,2619,2595,2401,2352,2163,
Residuals-1,-6.52383401251806,4.39550489969573,-3.04075788433115,-4.48424020842852,4.44309912365027,3.68059087195971,3.88976739488287,2.33232648936604,-0.443384594058586,-4.24801216552388,-4.21228317645646,-4.12868501688904,-2.76018694996705,-2.30359703404713,-0.906638023350568,-0.949395709283201,-0.654901111273999,3.81565190846518,3.95844279707531,3.75629337588228,4.370500321876,3.12832498056401,2.52695226551039,4.0963804534421,2.24228410428954,0.569380164434781,-2.65345950755511,-2.11442542312865,-0.675299414543433,-0.213919952670334,0.309972727099078,-0.955979225201539,-0.454443867901965,0.828609706766959,0.640625222971103,-1.36055904670842,-0.430143950743175,-4.11228099483855,-4.36714751446189,-4.60445154697425,-0.944424900491609,-0.944621822304976,1.7734165438299,1.39441711071246,

Time-2,0.8,1,1.2,1.4,1.6,1.8,2,2.2,2.4,2.6,2.8,3,3.2,3.4,3.6,3.8,4,4.2,4.4,4.6,4.8,5,5.2,5.4,5.6,5.8,6,6.2,6.4,6.6,6.8,7,7.2,7.4,7.6,7.8,8,8.2,8.4,8.6,8.8,9,9.2,9.4,9.6,9.8,
Lifetime-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Residuals-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,

