Double exponential fitting
Ch/ROI,Pop1,Tau1,Pop2,Tau2,TauG,Tau0,Meantau,Frac1,Frac2,xi_square
ch1,49037.1003607303,2.6,42413.2803515571,0.713837479402013,0.126861602139948,1.50437501221563,2.23804998399164,0.536215376893905,0.463784623106095,10.1717128969901
ch2,0,3.55,0,NaN,0.1,0.7,NaN,NaN,NaN,NaN
Fitting Multi ROIs
ROI2-ch1,9780.17319772519,2.6,8648.6621658887,0.713837479402013,0.126861602139948,1.50437501221563,2.23152314219067,0.530699472036919,0.469300527963081,3.6614677924183
ROI3-ch1,5310.48966264635,2.6,3261.7035290326,0.713837479402013,0.126861602139948,1.50437501221563,2.32783151292974,0.619501864213846,0.380498135786154,4.96790498607273
ROI4-ch1,766.263396690722,2.6,636.142097448587,0.713837479402013,0.126861602139948,1.50437501221563,2.2498876336374,0.54639218107242,0.45360781892758,1.59101653533854
ROI6-ch1,8205.4160937144,2.6,8028.51075180479,0.713837479402013,0.126861602139948,1.50437501221563,2.20060440241382,0.505448630623786,0.494551369376214,2.3975901213303
ROI7-ch1,4475.22918173788,2.6,4601.37980212103,0.713837479402013,0.126861602139948,1.50437501221563,2.18476789301996,0.4930507846814,0.5069492153186,2.08614692415834
ROI8-ch1,9029.56250108714,2.6,8354.07913435305,0.713837479402013,0.126861602139948,1.50437501221563,2.21793737447542,0.519428707197834,0.480571292802166,2.5593899649152
ROI9-ch1,2649.67709906365,2.6,2314.80359690293,0.713837479402013,0.126861602139948,1.50437501221563,2.23511524914193,0.533726941715454,0.466273058284546,2.05187015008632
ROI10-ch1,784.045406093744,2.6,595.74072313631,0.713837479402013,0.126861602139948,1.50437501221563,2.27443793060677,0.568236909680528,0.431763090319472,1.82791353529956
ROI11-ch1,1441.26658543209,2.6,976.165957678269,0.713837479402013,0.126861602139948,1.50437501221563,2.30425552875047,0.596197229800548,0.403802770199452,2.85300020714489
ROI12-ch1,3968.0081234679,2.6,3134.08410078449,0.713837479402013,0.126861602139948,1.50437501221563,2.26387150952218,0.558709743294779,0.441290256705221,2.19222476326121
ROI13-ch1,2551.7806626139,2.6,1940.40718432837,0.713837479402013,0.126861602139948,1.50437501221563,2.27423105339868,0.568048521023189,0.431951478976811,1.5663944749535
ROI2-ch2,24.5,3.55,24.5,NaN,0.1,0.7,NaN,0.5,0.5,NaN
ROI3-ch2,24.5,3.55,24.5,NaN,0.1,0.7,NaN,0.5,0.5,NaN
ROI4-ch2,24.5,3.55,24.5,NaN,0.1,0.7,NaN,0.5,0.5,NaN
ROI6-ch2,24.5,3.55,24.5,NaN,0.1,0.7,NaN,0.5,0.5,NaN
ROI7-ch2,24.5,3.55,24.5,NaN,0.1,0.7,NaN,0.5,0.5,NaN
ROI8-ch2,24.5,3.55,24.5,NaN,0.1,0.7,NaN,0.5,0.5,NaN
ROI9-ch2,24.5,3.55,24.5,NaN,0.1,0.7,NaN,0.5,0.5,NaN
ROI10-ch2,24.5,3.55,24.5,NaN,0.1,0.7,NaN,0.5,0.5,NaN
ROI11-ch2,24.5,3.55,24.5,NaN,0.1,0.7,NaN,0.5,0.5,NaN
ROI12-ch2,24.5,3.55,24.5,NaN,0.1,0.7,NaN,0.5,0.5,NaN
ROI13-ch2,24.5,3.55,24.5,NaN,0.1,0.7,NaN,0.5,0.5,NaN

Time-1,1.2,1.4,1.6,1.8,2,2.2,2.4,2.6,2.8,3,3.2,3.4,3.6,3.8,4,4.2,4.4,4.6,4.8,5,5.2,5.4,5.6,5.8,6,6.2,6.4,6.6,6.8,7,7.2,7.4,7.6,7.8,8,8.2,8.4,8.6,8.8,9,9.2,9.4,9.6,9.8,
